Song Names,Disc Number
" Livin’ La Vida Loca a
nN ",15
" Banana Boat Song 
  ",15
" Paradise By The Dashboard Light ad
oN 
 ey
 “ ULTRA HIGH QUALITY 
  Tree eee rr
TT Omer
eee Jota  Tae
SASSER ies ES
SAIS MAIL oe To a
 SST LATS eS
tee TS SS SS SSS
",15
,16
" ¢ So
4 
SGBHORO No
 we

j 
4 Federal Usa Prohibisype 
y Un Authonzad Copy Ox Dupicaba 1
  ¢ Performance
WOGLBOXG l
Pots
  
 
oi LT TRY tek vee tes Ok oO  
1 Summer Nights",16
 Respect,16
 Stop In The Namo Of Love,16
" Material Girt a
 ",16
 Youre No Good,16
 Girls Just Wanna Have Fun,16
 Like A Virgin,16
" Fame vo
H",16
 Manic Monday,16
" Youre The One That  Want
",16
 Crackin’ Rose,16
  Want A New Drug,16
" California Dreamin’ a
N",16
 This Masquerade,16
 Blue Bayou,16
" She Drives Me Crazy 
a",16
" Watorfalis ”
a",16
" Smells Like Teen Spirit “
a",16
,16
" Will Survive 
° ULTRA HIGH QUALITY — 
 Oe ee",16
" 
— oe
tS
SATIS SAN
",16
,17
 The Days Of wine Ang Roses,17
" More  sy Jf
  S",17
 The Way You Look Tonight,17
 m od Fashioned,17
" My Romance PY Py
Yi SES",17
 On A Siow Boat To China,17
" tho LadyisA‘Tramp yy
SOF",17
 Angel Eyes,17
 Satin Dont,17
" My One Ang Only Love Pais f 
 YQ “hee",17
 Summertime,17
" Scotch “ Soda i ey “
 NESS",17
" Sood glorning Heartache rs 
eA  “14 a Someone tn Love
—— ” ——15 You Dont Know What Love Sea i 
Pe    to nw   
 Se pe EL 
— i
 —— as
uote  EEE ee et
",17
,18
 Summarwind,18
 Body And Sout,18
" Autumn Leaves Ay
S You Stepped Out Of A Dream",18
 Heres That Rainy Day,18
" Thou Swell KY
Wy",18
 Blame It On My Youth,18
" Green Dolphin Street 
Bry",18
 it Could Happen To You,18
" A Child Is Born rit Ly
XN",18
 Ont Look At Me Now,18
" Stella By Starlight Z
 SS",18
" Everything Happens To Mo a
Ss",18
" There Will Nover Be Another You BJ
",18
" This Time The Dreams On Mo oo
Ste pos 
 o ee ee",18
 a,18
" 
CSS eZ
 ae —  
i Oo ee 
To Sy  CON ee a ge
aa — “ree 
al a
",18
,19
" I
q f oO",19
 eee Lost,19
" By
1 i Sy Gey  an ae
 is eR eo a  f B 
 tS an arta i if
 FN",19
 Auld Lang Syne,19
 The Song Is You,19
 Wave,19
"  Could Write A Book  ff 
  § Just One Of Those Things",19
" Polkadots And Moonbeams   y
SAN",19
 Sweet Georgia Brown,19
" Young And Foolish yy 4
iN",19
 When Sunny Gets Blue,19
" You Took Advantage Of me  4Y y
",19
 You Turned The Tables On Me,19
" How Insonsitive yr y
  ",19
" Stardust   yy p 
SSS ",19
" Anniversary Song BF po  
",19
 Santa Claus is Coming To Town  ,19
" t
SS  ED  
 Sea AE ep SAEZ ss  
— — ce eel i ee
a SSS ——  —— rr
— ———— wee
",19
,20
,20
" All  Ever Need Is You Lo P
 “Sits",20
" Half Breed  gGEZ Ps
Me EE
",20
,21
 Space Cowboy,21
 Shooting Star,21
 Beautiful Loser,21
" Alison Ay
Q Yen S Dance The Night Away",21
